id,category,original_question,original_answer,mcq_question,option_a,option_b,option_c,option_d,answer
1906.00378,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Unsupervised Bilingual Lexicon Induction from Mono-lingual Multimodal Data,"" which vision-based approaches does the proposed method outperform?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","CNN-mean, CNN-avgmax","According to the paper, which vision-based approaches does the proposed method outperform?",Text-only baselines,CNN-mean and CNN-avgmax,Transformer-based models only,None of the listed approaches,B
1906.00378,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Unsupervised Bilingual Lexicon Induction from Mono-lingual Multimodal Data,"" what baseline method is used in the experimental setup?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","CNN-mean, CNN-avgmax",Which of the following methods is used as a baseline in the experimental setup of the paper 'Unsupervised Bilingual Lexicon Induction from Mono-lingual Multimodal Data'?,SVM-linear,Transformer,CNN-mean,RNN-max,C
1906.00378,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Unsupervised Bilingual Lexicon Induction from Mono-lingual Multimodal Data,"" which two languages are used in the multi-lingual caption model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","German-English, French-English, Japanese-English",Which of the following language pairs are used in the multi-lingual caption model in the paper?,"French-Japanese, German-Spanish, English-Chinese","German-English, French-English, Japanese-English","German-French, Japanese-Spanish, English-Russian","Spanish-English, Russian-English, Chinese-English",B
1905.11901,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Revisiting Low-Resource Neural Machine Translation: A Case Study,"" what dataset sizes were used for the German-English translation experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Training data sizes: 159,000; 80,000; 40,000; 20,000; 10,000; and 5,000 sentences. Development set: 7,584 sentences.",Which of the following was NOT a training data size used for the German-English translation experiments in the study?,"159,000 sentences","5,000 sentences","50,000 sentences","10,000 sentences",C
1905.11901,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Revisiting Low-Resource Neural Machine Translation: A Case Study,"" what were the main findings regarding experimental results on the low-resource dataset?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Achieved 10.37 BLEU on the low-resource Korean–English dataset, outperforming previous results (5.97 BLEU); applied techniques were effective across datasets.",What was a key finding from the experimental results in the paper 'Revisiting Low-Resource Neural Machine Translation: A Case Study'?,Their methods achieved identical results as previous studies on the low-resource dataset.,BLEU scores decreased to 4.87 on the low-resource Korean–English dataset.,"They achieved 10.37 BLEU on the low-resource Korean–English dataset, outperforming previous results.",The techniques showed no significant effect across different datasets.,C
1905.11901,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Revisiting Low-Resource Neural Machine Translation: A Case Study,"" which methods do the authors compare with on the Korean-English dataset?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",gu-EtAl:2018:EMNLP1,Which method do the authors compare with on the Korean-English dataset in the paper 'Revisiting Low-Resource Neural Machine Translation: A Case Study'?,gu-EtAl:2018:EMNLP1,"Vaswani et al., 2017","Bahdanau et al., 2015","Luong et al., 2015",A
1905.11901,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Revisiting Low-Resource Neural Machine Translation: A Case Study,"" what specific pitfalls do the authors identify in the context of low-resource neural machine translation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",highly data-inefficient; underperform phrase-based statistical machine translation in low-data conditions,"According to the paper, which pitfall is identified for low-resource neural machine translation systems?",Are unaffected by the amount of available training data,Significantly outperform all other models in low-data conditions,Require no data for effective training,Highly data-inefficient and underperform phrase-based statistical machine translation in low-data conditions,D
1911.03310,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""How Language-Neutral is Multilingual BERT?"", how do the authors demonstrate that the language-neutral component of multilingual BERT is sufficiently general in modeling semantics to enable high-accuracy word alignment?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Word-alignment using mBERT representations achieves higher accuracy than the FastAlign tool, even without large parallel corpora, indicating that mBERT’s language-neutral component effectively models word-level semantics for high-accuracy alignment; explicit projection learning adds negligible improvement.","According to the authors of 'How Language-Neutral is Multilingual BERT?', what evidence suggests that the language-neutral component of mBERT is sufficiently general for high-accuracy word alignment?",FastAlign outperforms mBERT representations in all word alignment tasks.,"mBERT representations enable word-alignment with higher accuracy than FastAlign, even without large parallel corpora, and explicit projection learning offers little additional improvement.",mBERT representations require explicit projection learning to achieve any usable word alignment.,Word alignment with mBERT only works well with extensive parallel corpora.,B
1911.03310,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""How Language-Neutral is Multilingual BERT?"", are the language-specific and language-neutral components of mBERT found to be disjunctive according to the authors' analysis?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","No; the authors' analysis suggests that language-specific and language-neutral components in mBERT are not fully disjunctive, as language-specific information can be removed by centering representations, indicating overlap.","According to the paper 'How Language-Neutral is Multilingual BERT?', what do the authors conclude about the relationship between language-specific and language-neutral components in mBERT?",They are fully disjunctive with no overlap.,They completely overlap and cannot be separated.,They are not fully disjunctive and show some overlap.,The authors do not analyze their relationship.,C
1911.03310,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""How Language-Neutral is Multilingual BERT?"", how do the authors demonstrate that mBERT representations can be decomposed into a language-specific component and a language-neutral component?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","By centering the mBERT sentence representations for each language (subtracting the language-specific centroid so the average is at the origin), the authors remove language-specific information and analyze the resulting representations with probing tasks to show that mBERT representations can be decomposed into language-specific and language-neutral components.",How do the authors of 'How Language-Neutral is Multilingual BERT?' demonstrate that mBERT representations can be decomposed into language-specific and language-neutral components?,By training mBERT only on language-neutral tasks.,By replacing words with their synonyms in each language and observing the changes.,By using machine translation to align representations across languages.,By centering the mBERT representations for each language and analyzing the result with probing tasks.,D
