id,category,original_question,original_answer,mcq_question,option_a,option_b,option_c,option_d,answer
1906.00378,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Unsupervised Bilingual Lexicon Induction from Mono-lingual Multimodal Data,"" which vision-based approaches does the proposed method outperform?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","CNN-mean, CNN-avgmax",Which vision-based approaches does the proposed method outperform according to the paper 'Unsupervised Bilingual Lexicon Induction from Mono-lingual Multimodal Data'?,"CNN-mean, CNN-avgmax","CNN-max, LSTM-attn","RNN-mean, CNN-avg","SVM-based, Transformer-based",A
1906.00378,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Unsupervised Bilingual Lexicon Induction from Mono-lingual Multimodal Data,"" what baseline method is used in the experimental setup?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","CNN-mean, CNN-avgmax",Which of the following methods were used as baseline methods in the experimental setup of the paper 'Unsupervised Bilingual Lexicon Induction from Mono-lingual Multimodal Data'?,RNN and SVM,LSTM and KNN,CNN-mean and CNN-avgmax,Transformer and BERT,C
1906.00378,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Unsupervised Bilingual Lexicon Induction from Mono-lingual Multimodal Data,"" which two languages are used in the multi-lingual caption model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","German-English, French-English, Japanese-English","Which of the following language pairs are used in the multi-lingual caption model in the paper ""Unsupervised Bilingual Lexicon Induction from Mono-lingual Multimodal Data""?","German-English, French-English, Japanese-English","Spanish-German, Italian-French, Chinese-English","Italian-English, Portuguese-French, Japanese-German","Russian-English, Spanish-English, Dutch-German",A
1905.11901,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Revisiting Low-Resource Neural Machine Translation: A Case Study,"" what dataset sizes were used for the German-English translation experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Training data sizes: 159,000; 80,000; 40,000; 20,000; 10,000; and 5,000 sentences. Development set: 7,584 sentences.","Which of the following was NOT one of the training data sizes used in the German-English translation experiments in the paper ""Revisiting Low-Resource Neural Machine Translation: A Case Study""?","1,000,000 sentences","159,000 sentences","20,000 sentences","5,000 sentences",A
1905.11901,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Revisiting Low-Resource Neural Machine Translation: A Case Study,"" what were the main findings regarding experimental results on the low-resource dataset?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Achieved 10.37 BLEU on the low-resource Korean–English dataset, outperforming previous results (5.97 BLEU); applied techniques were effective across datasets.",What did the paper 'Revisiting Low-Resource Neural Machine Translation: A Case Study' find in its experiments on a low-resource dataset?,It only applied techniques to high-resource datasets.,"It achieved 10.37 BLEU on Korean–English, outperforming previous results of 5.97 BLEU.",It showed no improvement over prior work in BLEU scores.,It found that techniques did not generalize across datasets.,B
1905.11901,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Revisiting Low-Resource Neural Machine Translation: A Case Study,"" which methods do the authors compare with on the Korean-English dataset?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",gu-EtAl:2018:EMNLP1,Which baseline did the authors compare their methods with on the Korean-English dataset in the paper?,sennrichEtAl:2016:WMT,gu-EtAl:2018:EMNLP1,ottEtAl:2018:ICLR,vaswaniEtAl:2017:NIPS,B
1905.11901,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Revisiting Low-Resource Neural Machine Translation: A Case Study,"" what specific pitfalls do the authors identify in the context of low-resource neural machine translation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",highly data-inefficient; underperform phrase-based statistical machine translation in low-data conditions,"According to the paper, which of the following is a pitfall identified for low-resource neural machine translation models?",They outperform all other models in every scenario.,They do not require any data for training.,They have better translation quality than phrase-based models in all cases.,They are highly data-inefficient and underperform phrase-based statistical models in low-data conditions.,D
1911.03310,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""How Language-Neutral is Multilingual BERT?"", how do the authors demonstrate that the language-neutral component of multilingual BERT is sufficiently general in modeling semantics to enable high-accuracy word alignment?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Word-alignment using mBERT representations achieves higher accuracy than the FastAlign tool, even without large parallel corpora, indicating that mBERT’s language-neutral component effectively models word-level semantics for high-accuracy alignment; explicit projection learning adds negligible improvement.","According to the paper ""How Language-Neutral is Multilingual BERT?"", how do the authors show that mBERT's language-neutral component is effective at modeling semantics for word alignment?",By showing projection learning greatly improves mBERT’s alignment accuracy.,"By demonstrating that word alignment using mBERT representations is more accurate than the FastAlign tool, even without large parallel corpora.",By proving that FastAlign outperforms mBERT on all tested languages.,By training mBERT exclusively on monolingual data and comparing to FastAlign results.,B
1911.03310,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""How Language-Neutral is Multilingual BERT?"", are the language-specific and language-neutral components of mBERT found to be disjunctive according to the authors' analysis?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","No; the authors' analysis suggests that language-specific and language-neutral components in mBERT are not fully disjunctive, as language-specific information can be removed by centering representations, indicating overlap.",What did the authors find regarding the relationship between language-specific and language-neutral components in mBERT?,They found overlap between the language-specific and language-neutral components.,They found that both components cannot be separated at all.,They found the components are fully disjunctive.,They found that language-neutral components dominate entirely.,A
1911.03310,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""How Language-Neutral is Multilingual BERT?"", how do the authors demonstrate that mBERT representations can be decomposed into a language-specific component and a language-neutral component?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","By centering the mBERT sentence representations for each language (subtracting the language-specific centroid so the average is at the origin), the authors remove language-specific information and analyze the resulting representations with probing tasks to show that mBERT representations can be decomposed into language-specific and language-neutral components.","How did the authors of the paper ""How Language-Neutral is Multilingual BERT?"" demonstrate that mBERT representations could be decomposed into language-specific and language-neutral components?",They removed all language identifiers from the training data and compared results.,They centered the mBERT sentence representations for each language and used probing tasks to analyze the components.,They applied word-level attention masking only for language-neutral words.,They trained a new model from scratch for each language.,B
1911.03310,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""How Language-Neutral is Multilingual BERT?"", what specific challenges do the authors identify that must be addressed in order to develop more effective language-neutral representations?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","contextual embeddings do not represent similar semantic phenomena similarly across languages, making them not directly usable for zero-shot cross-lingual tasks; thus, developing more effective language-neutral representations requires addressing this inconsistency in semantic representation.",What challenge do the authors of 'How Language-Neutral is Multilingual BERT?' highlight for achieving more effective language-neutral representations?,Semantic representations in multilingual BERT are completely language-independent.,Multilingual BERT embeddings require no further improvement for cross-lingual tasks.,All languages are equally well represented by multilingual BERT embeddings.,"Contextual embeddings do not represent similar semantic phenomena similarly across languages, leading to issues with language-neutral representations.",D
1910.11471,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory,"" which dataset do the authors use for training and evaluating their model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","A parallel corpus of 18,805 aligned pairs, with English expressions as source and Python code as target.",Which dataset did the authors use for training and evaluating their model in the paper 'Machine Translation from Natural Language to Code using Long-Short Term Memory'?,A dataset of Java code and translations into English.,"A parallel corpus of 18,805 aligned pairs, with English expressions as source and Python code as target.",The Penn Treebank corpus of annotated English sentences.,The Europarl corpus of multilingual parliamentary proceedings.,B
1910.11471,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory,"" do the authors compare their LSTM-based model to any other models? If so, which models do they use for comparison?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Yes; the authors compare their LSTM-based model to phrase-based statistical machine translation (SMT) models.,Which model do the authors compare their LSTM-based model to in the paper?,Support vector machine (SVM) models,Convolutional neural network (CNN) models,Reinforcement learning models,Phrase-based statistical machine translation (SMT) models,D
1910.11471,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory,"" what is the architecture of the proposed system for translating natural language to code?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","LSTM-based sequence-to-sequence architecture with encoder, decoder, and output layers.","According to the paper, what architecture is used for translating natural language to code?",Feedforward neural network without sequence modeling,"LSTM-based sequence-to-sequence with encoder, decoder, and output layers",Convolutional Neural Network (CNN),Rule-based expert system,B
1910.11471,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory,"" what additional techniques do the authors suggest could be incorporated to further improve accuracy?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Phrase-based word embedding; Abstract Syntax Tree (AST).,"Which of the following techniques do the authors suggest could be incorporated to further improve accuracy in machine translation from natural language to code, according to the paper?",Phrase-based word embedding and Abstract Syntax Tree (AST),Ensembling multiple LSTM models,Backpropagation and batch normalization,Convolutional Neural Networks (CNN) and attention mechanism,A
1910.11471,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory,"" which programming language is used as the target language for code generation?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Python,Which programming language is used as the target for code generation in the paper 'Machine Translation from Natural Language to Code using Long-Short Term Memory'?,JavaScript,C++,Python,Java,C
1910.11471,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Machine Translation from Natural Language to Code using Long-Short Term Memory,"" which dataset is used to evaluate the accuracy of the proposed model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",500 validation data from the source corpus.,Which dataset is used to evaluate the accuracy of the proposed model in the paper 'Machine Translation from Natural Language to Code using Long-Short Term Memory'?,A publicly available code summarization dataset.,A standard machine translation benchmark dataset.,Data collected from GitHub repositories only.,500 validation data from the source corpus.,D
1903.03467,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
What conclusions are drawn from the syntactic analysis in the paper ""Filling Gender&Number Gaps in Neural Machine Translation with Black-box Context Injection""?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","enables control over the morphological realization of first and second-person pronouns, as well as related verbs and adjectives","According to the syntactic analysis in the paper, what is made possible by black-box context injection in neural machine translation?","Controlling the morphological realization of first and second-person pronouns, verbs, and adjectives",Improving sentence length in translations,Automatically detecting translation errors,Translating slang more accurately,A
1903.03467,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Filling Gender&Number Gaps in Neural Machine Translation with Black-box Context Injection,"" what type of syntactic analysis do the authors perform?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Speaker's Gender Effects: analyze first-person singular pronouns and the gender of their governing verbs/adjectives; Interlocutors' Gender and Number Effects: analyze second-person pronouns and their gender/number, including governing verbs/adjectives.",Which syntactic elements did the authors analyze in their study to address gender and number gaps in neural machine translation?,Only the usage of definite and indefinite articles.,"First-person singular pronouns, their governing verbs/adjectives (for speaker's gender); and second-person pronouns, their gender/number and governing verbs/adjectives (for interlocutors' gender and number).",Analysis limited to subject-object agreement in complex sentences.,Third-person plural pronouns and the tense of sentences.,B
1903.03467,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Filling Gender&Number Gaps in Neural Machine Translation with Black-box Context Injection,"" how do the authors demonstrate that their system successfully injects the correct gender and number information into neural machine translation outputs?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","- Show that providing correct gender and number information as prefixes increases BLEU scores by up to 2.3 over the baseline.
- Demonstrate that adding “She said” prefixes substantially increases the proportion of feminine-marked verbs in translations, bringing them much closer to the reference.",How do the authors of the paper demonstrate that their system can successfully inject the correct gender and number information into neural machine translation outputs?,By manually editing translation outputs after generation.,By only evaluating the system on English-to-English translation tasks.,By showing that providing correct gender and number prefixes increases BLEU scores and that 'She said' prefixes boost feminine-marked verbs in translations.,By ignoring gender and number in the test inputs.,C
1903.03467,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
Which neural machine translation system is used in the paper ""Filling Gender&Number Gaps in Neural Machine Translation with Black-box Context Injection""?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Google's machine translation system (GMT),Which neural machine translation system is used in the paper 'Filling Gender&Number Gaps in Neural Machine Translation with Black-box Context Injection'?,Microsoft Translator,Facebook's Fairseq system,Google's machine translation system (GMT),Amazon Translate,C
1903.03467,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Filling Gender&Number Gaps in Neural Machine Translation with Black-box Context Injection,"" what are the components of the black-box context injection system described by the authors?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Components:  
- Black-box context injection by prepending context phrases to the input (e.g., “He said:”, “She said:”, “I said to them:”)
- Context phrases encode information about speaker gender and audience number/gender
- No modification to the NMT system internals or training; operates solely by modifying input text",Which of the following is NOT a component of the black-box context injection system described by the authors?,Context phrases convey speaker and audience gender/number information.,Modification of the NMT system's internal architecture and training.,Prepending context phrases (like 'He said:') to the input to encode gender and number.,No alteration to the NMT system internals; the method only changes input text.,B
1911.00069,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping,"" do the authors train their own relation extraction (RE) model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Yes.,"In the paper 'Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping,' what did the authors do regarding the relation extraction (RE) model?",They only used publicly available pre-trained models.,They trained their own relation extraction model.,They conducted no experiments with relation extraction models.,They used rule-based extraction methods only.,B
1911.00069,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Neural Cross-Lingual Relation Extraction Based on Bilingual Word Embedding Mapping,"" what are the sizes of the datasets used in the experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",In-house dataset: 3716 documents; ACE05 dataset: 1635 documents.,"According to the paper, what are the sizes of the datasets used in the experiments?",In-house dataset: 3716 documents; ACE05 dataset: 2000 documents.,In-house dataset: 4000 documents; ACE05 dataset: 1700 documents.,In-house dataset: 3000 documents; ACE05 dataset: 1635 documents.,In-house dataset: 3716 documents; ACE05 dataset: 1635 documents.,D
