id,category,original_question,original_answer,mcq_question,option_a,option_b,option_c,option_d,answer
1908.06606,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Question Answering based Clinical Text Structuring Using Pre-trained Language Model,"" what dataset is used to pretrain the language model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Chinese general corpus,Which dataset is used to pretrain the language model in the paper 'Question Answering based Clinical Text Structuring Using Pre-trained Language Model'?,Chinese general corpus,MIMIC-III,English Wikipedia,BioASQ,A
1908.06606,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Question Answering based Clinical Text Structuring Using Pre-trained Language Model,"" what baseline methods are used for comparison with the proposed model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","BERT-Base, QANet",Which of the following baseline methods are used for comparison with the proposed model in the paper 'Question Answering based Clinical Text Structuring Using Pre-trained Language Model'?,"LSTM, GRU","Transformer-XL, XLNet","ResNet, VGG","BERT-Base, QANet",D
1908.06606,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Question Answering based Clinical Text Structuring Using Pre-trained Language Model,"" how do the authors define the clinical text structuring task?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Extracting structured patient medical data (e.g., symptoms, diseases, tumor size, surgical details, lab results) from unstructured clinical text in electronic health records (EHRs); specifically, their QA-CTS task frames this as discovering the most relevant text spans from original paragraphs to answer clinical questions, unifying output formats and enabling data sharing.","According to the authors, how is the clinical text structuring task defined in the paper 'Question Answering based Clinical Text Structuring Using Pre-trained Language Model'?",Predicting patient outcomes based on historical medical data.,Summarizing clinical documents for easier reading by healthcare professionals.,Extracting structured patient medical data from unstructured clinical text in EHRs by discovering relevant text spans to answer clinical questions.,Translating medical terms into plain language for patients.,C
1908.06606,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Question Answering based Clinical Text Structuring Using Pre-trained Language Model,"" what specific clinical text structuring tasks are unified by the proposed question answering framework?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Tumor size, proximal resection margin, distal resection margin.",Which of the following clinical text structuring tasks are unified by the proposed question answering framework in the paper?,"Patient age, gender, blood pressure","Medication dosage, lab test ordering, allergy information","Doctor's notes, billing codes, insurance information","Tumor size, proximal resection margin, distal resection margin",D
1908.06606,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Question Answering based Clinical Text Structuring Using Pre-trained Language Model,"" does the dataset used consist solely of questions, or does it also include unrelated sentences interspersed between the questions?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Includes both questions and unrelated sentences; dataset consists of pathology reports with sentences interspersed between question-answer pairs.,What does the dataset in the paper 'Question Answering based Clinical Text Structuring Using Pre-trained Language Model' consist of?,Both questions and unrelated sentences interspersed between them.,Only answers to clinical questions with no context.,Only unrelated sentences with no questions.,Only questions and no other text.,A
1908.06606,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Question Answering based Clinical Text Structuring Using Pre-trained Language Model,"" how many questions are included in the dataset used for their experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","2,714 question-answer pairs",How many question-answer pairs are included in the dataset used for the experiments in the paper?,"3,800","1,500","2,714","5,000",C
1908.06606,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Question Answering based Clinical Text Structuring Using Pre-trained Language Model,"" how do the authors introduce domain-specific features into the pre-trained language model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Integrate clinical named entity information (from CNER model with BIEOS tagging) as one-hot output sequences into the pre-trained language model, combining these features with contextualized representations before answer prediction.",How do the authors introduce domain-specific features into the pre-trained language model?,"By integrating clinical named entity information (from a CNER model with BIEOS tagging) as one-hot output sequences into the model, combining these with contextualized representations.",By only using general language pre-training without any clinical adaptation.,By manually annotating all clinical text data with domain-specific notes before training.,By using rule-based methods to identify entities and exclude them from the model.,A
1908.06606,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Question Answering based Clinical Text Structuring Using Pre-trained Language Model,"" what is the size of the QA-CTS task dataset?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","17,833 sentences, 826,987 characters, and 2,714 question-answer pairs.",Which of the following best describes the size of the QA-CTS task dataset in the paper 'Question Answering based Clinical Text Structuring Using Pre-trained Language Model'?,"17,833 sentences, 826,987 characters, and 2,714 question-answer pairs","5,500 sentences, 200,000 characters, and 800 question-answer pairs","10,000 sentences, 350,000 characters, and 1,200 question-answer pairs","25,000 sentences, 1,000,000 characters, and 4,000 question-answer pairs",A
1908.06606,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Question Answering based Clinical Text Structuring Using Pre-trained Language Model,"" how many pathology reports were collected from Ruijing Hospital for the dataset?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Number of pathology reports collected from Ruijin Hospital not explicitly stated; dataset contains 17,833 sentences, 826,987 characters, and 2,714 question-answer pairs.",Which of the following is true about the dataset from Ruijin Hospital in the paper 'Question Answering based Clinical Text Structuring Using Pre-trained Language Model'?,"It has 100,000 question-answer pairs.",It is composed entirely of radiology reports.,"It contains 17,833 sentences.","It contains 50,000 pathology reports.",C
1908.06606,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Question Answering based Clinical Text Structuring Using Pre-trained Language Model,"" what strong baseline models are used for the specific tasks addressed in the study?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",state-of-the-art question answering models (i.e. QANet) and BERT-Base,Which strong baseline models were used in the study for the specific tasks addressed?,Naive Bayes and Decision Trees,AlexNet and ResNet,LSTM and GRU,QANet and BERT-Base,D
1909.00542,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Classification Betters Regression in Query-based Multi-document Summarisation Techniques for Question Answering: Macquarie University at BioASQ7b,"" what approaches were tried that did not use reinforcement learning?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","classification (Support Vector Classification), regression (Support Vector Regression), neural regressor, neural classifier",Which of the following approaches were tried without using reinforcement learning in the paper?,Only neural networks,Only reinforcement learning approaches,Reinforcement learning and Support Vector Regression,"Support Vector Classification, Support Vector Regression, neural regressor, neural classifier",D
1909.00542,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Classification Betters Regression in Query-based Multi-document Summarisation Techniques for Question Answering: Macquarie University at BioASQ7b,"" which classification approaches did the authors experiment with for the summarisation task?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Support Vector Classification (SVC), neural classifier (NNC) with ""top 5"" classification labels, neural classifier (NNC) with ROUGE-SU4 F1 regression labels (""NNC SU4 F1"").",Which of the following classification approaches did the authors experiment with for the summarisation task in their paper?,"Decision Trees, AdaBoost, Naive Bayes","Gradient Boosting, Linear Regression, Bayesian Networks","Support Vector Classification (SVC), neural classifier with 'top 5' classification labels, neural classifier with ROUGE-SU4 F1 regression labels","Random Forests, k-Nearest Neighbors, Logistic Regression",C
1909.00542,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Classification Betters Regression in Query-based Multi-document Summarisation Techniques for Question Answering: Macquarie University at BioASQ7b,"" did the classification models outperform the regression models used in previous approaches?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Yes. Classification models outperformed regression models, though results depended on the data annotation approach.","According to the paper by Macquarie University at BioASQ7b, which type of model outperformed the other in query-based multi-document summarisation for question answering?",Both models performed equally poorly,There was no difference between classification and regression models,Regression models outperformed classification models,Classification models outperformed regression models,D
1703.04617,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Exploring Question Understanding and Adaptation in Neural-Network-Based Question Answering,"" what does the abbreviation ""MC"" stand for?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",MC stands for machine comprehension.,"In the paper 'Exploring Question Understanding and Adaptation in Neural-Network-Based Question Answering,' what does 'MC' stand for?",Model component,Memory controller,Machine comprehension,Multiple choice,C
1703.04617,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
According to the paper ""Exploring Question Understanding and Adaptation in Neural-Network-Based Question Answering,"" what is the reported improvement in performance achieved by the adaptation model compared to the baseline?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",69.10% EM / 78.38% F1 (adaptation model) vs. 68.00% EM / 77.36% F1 (baseline); improvement of 1.10% EM and 1.02% F1.,What is the reported improvement in EM and F1 metrics achieved by the adaptation model over the baseline in the paper?,2.00% EM and 2.00% F1,1.50% EM and 1.50% F1,0.50% EM and 0.60% F1,1.10% EM and 1.02% F1,D
